Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Week,data visualization: (India),,,,,,,,,,,,
02/06/13,35,,,,,,,,,,,,
09/06/13,78,,,,,,,,,,,,
16/06/13,57,,,,,,,,,,,,
23/06/13,56,,,,,,,,,,,,
30/06/13,63,,,,,,,,,,,,
07/07/13,35,,,,,,,,,,,,
14/07/13,56,,,,,,,,,,,,
21/07/13,61,,,,,,,,,,,,
28/07/13,61,,,,,,,,,,,,
04/08/13,69,,,,,,,,,,,,
11/08/13,54,,,,,,,,,,,,
18/08/13,56,,,,,,,,,,,,
25/08/13,62,,,,,,,,,,,,
01/09/13,55,,,,,,,,,,,,
08/09/13,36,,,,,,,,,,,,
15/09/13,48,,,,,,,,,,,,
22/09/13,73,,,,,,,,,,,,
29/09/13,47,,,,,,,,,,,,
06/10/13,56,,,,,,,,,,,,
13/10/13,70,,,,,,,,,,,,
20/10/13,62,,,,,,,,,,,,
27/10/13,36,,,,,,,,,,,,
03/11/13,44,,,,,,,,,,,,
10/11/13,69,,,,,,,,,,,,
17/11/13,48,,,,,,,,,,,,
24/11/13,41,,,,,,,,,,,,
01/12/13,40,,,,,,,,,,,,
08/12/13,51,,,,,,,,,,,,
15/12/13,31,,,,,,,,,,,,
22/12/13,26,,,,,,,,,,,,
29/12/13,37,,,,,,,,,,,,
05/01/14,40,,,,,,,,,,,,
12/01/14,51,,,,,,,,,,,,
19/01/14,44,,,,,,,,,,,,
26/01/14,29,,,,,,,,,,,,
02/02/14,33,,,,,,,,,,,,
09/02/14,24,,,,,,,,,,,,
16/02/14,39,,,,,,,,,,,,
23/02/14,48,,,,,,,,,,,,
02/03/14,15,,,,,,,,,,,,
09/03/14,49,,,,,,,,,,,,
16/03/14,39,,,,,,,,,,,,
23/03/14,42,,,,,,,,,,,,
30/03/14,48,,,,,,,,,,,,
06/04/14,53,,,,,,,,,,,,
13/04/14,64,,,,,,,,,,,,
20/04/14,78,,,,,,,,,,,,
27/04/14,40,,,,,,,,,,,,
04/05/14,48,,,,,,,,,,,,
11/05/14,41,,,,,,,,,,,,
18/05/14,52,,,,,,,,,,,,
25/05/14,29,,,,,,,,,,,,
01/06/14,24,,,,,,,,,,,,
08/06/14,30,,,,,,,,,,,,
15/06/14,60,,,,,,,,,,,,
22/06/14,64,,,,,,,,,,,,
29/06/14,50,,,,,,,,,,,,
06/07/14,51,,,,,,,,,,,,
13/07/14,67,,,,,,,,,,,,
20/07/14,79,,,,,,,,,,,,
27/07/14,61,,,,,,,,,,,,
03/08/14,53,,,,,,,,,,,,
10/08/14,17,,,,,,,,,,,,
17/08/14,46,,,,,,,,,,,,
24/08/14,51,,,,,,,,,,,,
31/08/14,45,,,,,,,,,,,,
07/09/14,56,,,,,,,,,,,,
14/09/14,83,,,,,,,,,,,,
21/09/14,44,,,,,,,,,,,,
28/09/14,36,,,,,,,,,,,,
05/10/14,43,,,,,,,,,,,,
12/10/14,39,,,,,,,,,,,,
19/10/14,12,,,,,,,,,,,,
26/10/14,55,,,,,,,,,,,,
02/11/14,81,,,,,,,,,,,,
09/11/14,58,,,,,,,,,,,,
16/11/14,56,,,,,,,,,,,,
23/11/14,61,,,,,,,,,,,,
30/11/14,40,,,,,,,,,,,,
07/12/14,60,,,,,,,,,,,,
14/12/14,38,,,,,,,,,,,,
21/12/14,33,,,,,,,,,,,,
28/12/14,54,,,,,,,,,,,,
04/01/15,52,,,,,,,,,,,,
11/01/15,54,,,,,,,,,,,,
18/01/15,47,,,,,,,,,,,,
25/01/15,59,,,,,,,,,,,,
01/02/15,62,,,,,,,,,,,,
08/02/15,74,,,,,,,,,,,,
15/02/15,61,,,,,,,,,,,,
22/02/15,59,,,,,,,,,,,,
01/03/15,46,,,,,,,,,,,,
08/03/15,44,,,,,,,,,,,,
15/03/15,63,,,,,,,,,,,,
22/03/15,100,,,,,,,,,,,,
29/03/15,30,,,,,,,,,,,,
05/04/15,35,,,,,,,,,,,,
12/04/15,93,,,,,,,,,,,,
19/04/15,91,,,,,,,,,,,,
26/04/15,86,,,,,,,,,,,,
03/05/15,25,,,,,,,,,,,,
10/05/15,38,,,,,,,,,,,,
17/05/15,66,,,,,,,,,,,,
24/05/15,62,,,,,,,,,,,,
31/05/15,92,,,,,,,,,,,,
07/06/15,72,,,,,,,,,,,,
14/06/15,44,,,,,,,,,,,,
21/06/15,55,,,,,,,,,,,,
28/06/15,46,,,,,,,,,,,,
05/07/15,55,,,,,,,,,,,,
12/07/15,26,,,,,,,,,,,,
19/07/15,41,,,,,,,,,,,,
26/07/15,64,,,,,,,,,,,,
02/08/15,55,,,,,,,,,,,,
09/08/15,58,,,,,,,,,,,,
16/08/15,55,,,,,,,,,,,,
23/08/15,57,,,,,,,,,,,,
30/08/15,44,,,,,,,,,,,,
06/09/15,41,,,,,,,,,,,,
13/09/15,37,,,,,,,,,,,,
20/09/15,52,,,,,,,,,,,,
27/09/15,53,,,,,,,,,,,,
04/10/15,55,,,,,,,,,,,,
11/10/15,99,,,,,,,,,,,,
18/10/15,32,,,,,,,,,,,,
25/10/15,60,,,,,,,,,,,,
01/11/15,63,,,,,,,,,,,,
08/11/15,34,,,,,,,,,,,,
15/11/15,85,,,,,,,,,,,,
22/11/15,44,,,,,,,,,,,,
29/11/15,65,,,,,,,,,,,,
06/12/15,73,,,,,,,,,,,,
13/12/15,49,,,,,,,,,,,,
20/12/15,64,,,,,,,,,,,,
27/12/15,38,,,,,,,,,,,,
03/01/16,41,,,,,,,,,,,,
10/01/16,59,,,,,,,,,,,,
17/01/16,58,,,,,,,,,,,,
24/01/16,58,,,,,,,,,,,,
31/01/16,37,,,,,,,,,,,,
07/02/16,61,,,,,,,,,,,,
14/02/16,62,,,,,,,,,,,,
21/02/16,52,,,,,,,,,,,,
28/02/16,56,,,,,,,,,,,,
06/03/16,69,,,,,,,,,,,,
13/03/16,48,,,,,,,,,,,,
20/03/16,50,,,,,,,,,,,,
27/03/16,48,,,,,,,,,,,,
03/04/16,70,,,,,,,,,,,,
10/04/16,53,,,,,,,,,,,,
17/04/16,58,,,,,,,,,,,,
24/04/16,65,,,,,,,,,,,,
01/05/16,40,,,,,,,,,,,,
08/05/16,70,,,,,,,,,,,,
15/05/16,83,,,,,,,,,,,,
22/05/16,52,,,,,,,,,,,,
29/05/16,69,,,,,,,,,,,,
05/06/16,51,,,,,,,,,,,,
12/06/16,79,,,,,,,,,,,,
19/06/16,56,,,,,,,,,,,,
26/06/16,30,,,,,,,,,,,,
03/07/16,53,,,,,,,,,,,,
10/07/16,60,,,,,,,,,,,,
17/07/16,59,,,,,,,,,,,,
24/07/16,33,,,,,,,,,,,,
31/07/16,34,,,,,,,,,,,,
07/08/16,45,,,,,,,,,,,,
14/08/16,28,,,,,,,,,,,,
21/08/16,53,,,,,,,,,,,,
28/08/16,51,,,,,,,,,,,,
04/09/16,57,,,,,,,,,,,,
11/09/16,73,,,,,,,,,,,,
18/09/16,46,,,,,,,,,,,,
25/09/16,34,,,,,,,,,,,,
02/10/16,51,,,,,,,,,,,,
09/10/16,39,,,,,,,,,,,,
16/10/16,68,,,,,,,,,,,,
23/10/16,56,,,,,,,,,,,,
30/10/16,40,,,,,,,,,,,,
06/11/16,51,,,,,,,,,,,,
13/11/16,81,,,,,,,,,,,,
20/11/16,72,,,,,,,,,,,,
27/11/16,86,,,,,,,,,,,,
04/12/16,78,,,,,,,,,,,,
11/12/16,44,,,,,,,,,,,,
18/12/16,55,,,,,,,,,,,,
25/12/16,27,,,,,,,,,,,,
01/01/17,80,,,,,,,,,,,,
08/01/17,25,,,,,,,,,,,,
15/01/17,67,,,,,,,,,,,,
22/01/17,60,,,,,,,,,,,,
29/01/17,54,,,,,,,,,,,,
05/02/17,36,,,,,,,,,,,,
12/02/17,52,,,,,,,,,,,,
19/02/17,67,,,,,,,,,,,,
26/02/17,63,,,,,,,,,,,,
05/03/17,53,,,,,,,,,,,,
12/03/17,45,,,,,,,,,,,,
19/03/17,44,,,,,,,,,,,,
26/03/17,70,,,,,,,,,,,,
02/04/17,45,,,,,,,,,,,,
09/04/17,42,,,,,,,,,,,,
16/04/17,53,,,,,,,,,,,,
23/04/17,38,,,,,,,,,,,,
30/04/17,50,,,,,,,,,,,,
07/05/17,61,,,,,,,,,,,,
14/05/17,60,,,,,,,,,,,,
21/05/17,56,,,,,,,,,,,,
28/05/17,54,,,,,,,,,,,,
04/06/17,42,,,,,,,,,,,,
11/06/17,55,,,,,,,,,,,,
18/06/17,61,,,,,,,,,,,,
25/06/17,44,,,,,,,,,,,,
02/07/17,42,,,,,,,,,,,,
09/07/17,74,,,,,,,,,,,,
16/07/17,60,,,,,,,,,,,,
23/07/17,74,,,,,,,,,,,,
30/07/17,40,,,,,,,,,,,,
06/08/17,51,,,,,,,,,,,,
13/08/17,36,,,,,,,,,,,,
20/08/17,62,,,,,,,,,,,,
27/08/17,62,,,,,,,,,,,,
03/09/17,66,,,,,,,,,,,,
10/09/17,63,,,,,,,,,,,,
17/09/17,43,,,,,,,,,,,,
24/09/17,34,,,,,,,,,,,,
01/10/17,39,,,,,,,,,,,,
08/10/17,61,,,,,,,,,,,,
15/10/17,28,,,,,,,,,,,,
22/10/17,54,,,,,,,,,,,,
29/10/17,40,,,,,,,,,,,,
05/11/17,62,,,,,,,,,,,,
12/11/17,56,,,,,,,,,,,,
19/11/17,54,,,,,,,,,,,,
26/11/17,45,,,,,,,,,,,,
03/12/17,39,,,,,,,,,,,,
10/12/17,52,,,,,,,,,,,,
17/12/17,56,,,,,,,,,,,,
24/12/17,44,,,,,,,,,,,,
31/12/17,49,,,,,,,,,,,,
